,Puno,Granja Salcedo,Los Uros,Rincon de la Cruz,Mañazo,Umayo,Illpa,Capachica,Cabanillas,Lagunillas,Santa Lucia,Juliaca,Isla Taquile,Los Rosales
January,152.13248632150126,152.13248632150126,151.35633369262905,155.7832108773404,154.46816126093836,104.92881741775781,97.15820713260275,173.59232752089346,137.4610825576223,152.59322569282068,128.64059321188978,163.79395328527897,207.88654227553693,119.30665449415537
February,144.81967976300385,144.81967976300385,143.4599278962909,129.10756961602783,137.37864678545964,121.25659126995888,133.7434009514953,146.52468769541693,121.15215635364284,121.27486667053302,135.2278337458929,122.65313635861602,186.65944133004595,126.78766498700716
March,120.77217560482276,120.77217560482276,125.07716559863766,120.60757413420569,98.33984463512958,96.81641751208808,110.21592624087862,131.78029945033157,102.01286667323913,103.77656406071864,123.0875199520896,128.27651299092977,165.67141729495614,71.54586769143498
April,56.413640940931735,56.413640940931735,57.120029085848614,44.838118140176505,49.065664834556785,42.12433824739223,41.657429559581125,50.209641030904336,48.4189353814118,40.7242772564034,43.08856497744974,47.96433763833638,75.5222829055177,42.084945957352566
May,7.325595885865425,7.325595885865425,8.119083249281788,7.190486404785138,4.703341114356932,5.793865143789308,4.979583487674317,6.019266799827355,3.897472624837434,4.686529451234549,3.321903984595429,7.494173096833708,15.18937582291746,5.427128680692694
June,3.679455138935869,3.679455138935869,2.769118978468841,2.2854851057913734,4.207141110942558,3.070243639928421,2.356240753203541,3.620804064278798,3.573061620429113,3.1166485164150513,2.3270395792710103,5.228664420558831,4.211455938413778,4.566695445045218
July,2.7092552887246355,2.7092552887246355,3.0506702895832465,4.695504727112414,3.260693709903049,2.3850888487684894,1.8985724246260418,4.93878600918273,2.3663597249796924,1.882240134466278,1.5459239954154995,4.205876710898455,5.597036600267218,3.1052221200665997
August,9.319836644352023,9.319836644352023,9.98365644670967,10.965364564972045,7.292569198572856,7.203166149612838,5.776197922650875,11.261303215158478,6.831838961631197,4.807913647081764,3.9459097535339938,15.059205629389904,10.414490585188565,10.886428795744669
September,20.313340910713954,20.313340910713954,20.061444612857564,30.590543155407715,14.365208416822398,16.17018731851854,16.27531813949372,24.391602282849902,12.698886852268988,6.514579151410102,6.859398589507324,14.214234685414985,37.28704239697857,14.589231639555265
October,39.042266528449275,39.042266528449275,42.344359797424524,38.96222435065497,32.75291493927496,27.546250834032342,40.138203327001364,40.236784715033856,37.107721209301,22.604143799172608,30.044823559629002,37.581885593900765,47.62141440047405,32.26595586103734
November,44.82547224530997,44.82547224530997,42.87696276720237,49.41766184693762,51.825066106030405,60.51102309686665,34.34843112672636,47.70785892618884,49.135315294648635,46.94447616050727,48.27145556308952,94.46782630021299,52.58325476657577,58.86740532012243
December,83.04560534250562,83.04560534250562,97.48312602685546,92.0308097130478,99.47136128384952,88.38177040908485,85.10478350823105,107.2758863738115,90.65408827341324,88.17319769236205,87.35837048235007,164.75594615576557,109.2747930275397,83.27749805765998
